1	0	1	1																									
1	0	2	1																									
1	0	3	5																									
1	0	4	5																									
2	0	1	1																									
2	0	2	1																									
2	0	3	1																									
2	0	4	3																									
3	0	1	1																									
3	0	2	1																									
3	0	3	2																									
3	0	4	2																									
4	0	1	1																									
4	0	2	1																									
4	0	3	1																									
4	1	4	4																									
5	0	1	2																									
5	0	2	1																									
5	0	3	1																									
5	1	4	4		5	1	0	1																				
6	0	1	2		6	1	0	1		6	1	4.5	4															
6	0	2	1		7	1	0	1																				
6	0	3	1																									
6	0	4	1		7	1	5	1																				
7	0	1	2		8	1	5	1																				
7	0	2	1		9	1	5	1																				
7	0	3	3																									
7	0	4	1																									
8	1	1	4		8	2	1	1		8	3	1	1															
8	1	2	4		8	2	2	1		8	3	2	1															
8	0	3	1																									
8	0	4	1																									
9	0	1	1																									
9	0	2	1																									
9	0	3	1																									
9	0	4	1																									
10	0	1	1																									
10	0	2	1																									
10	0	3	1																									
10	0	4	1																									
11	0	1	1		11	1	0	5																				
11	0	2	1		12	1	0	5																				
11	0	3	1		13	1	0	5																				
11	0	4	1																									
12	0	1	1																									
12	0	2	1																									
12	1	3	4																									
12	1	4	4																									
13	0	1	1																									
13	0	2	1																									
13	0	3	1																									
13	0	4	1																									
14	0	1.5	1																									
14	0	2.5	1																									
14	0	3.5	1																									
																												
15	1	1	2																									
15	0	1.5	1																									
15	0	2.5	1																									
15	0	3.5	1																									
16	1	1	2																									
16	1	2	2																									
16	0	2.5	1																									
16	0	3.5	1																									
17	0	1.5	1																									
17	0	2.5	1																									
17	0	3.5	1																									
																												
18	0	1.5	1																									
18	0	2.5	3																									
18	0	3.5	1																									
																												
19	0	1.5	1																									
19	0	2.5	1																									
19	0	3.5	1																									
19	1	4	2																									
20	0	1.5	1																									
20	0	2.5	1																									
20	1	3	2																									
20	1	4	2																									
21	0	1.5	1																									
21	0	2.5	1																									
21	0	3.5	1																									
																												
22	0	1.5	1																									
22	0	2.5	1																									
22	0	3.5	1																									
																												
23	1	1	2																									
23	0	1.5	1																									
23	0	2.5	1																									
23	0	3.5	1																									
24	1	1	2																									
24	1	2	2																									
24	0	2.5	1																									
24	0	3.5	1																									
25	0	1.5	1																									
25	0	2.5	1																									
25	0	3.5	1																									
																												
26	0	1.5	1																									
26	0	2.5	1																									
26	0	3.5	1																									
																												
27	0	1.5	1																									
27	0	2.5	1																									
27	0	3.5	1																									
27	1	4	2																									
28	0	1	1																									
28	0	2	1																									
28	1	3	2																									
28	1	4	2																									
29	0	1	1																									
29	0	2	1																									
29	0	3	7																									
29	0	4	7																									
30	0	1	1																									
30	0	2	3																									
30	0	3	3																									
30	0	4	7																									
31	1	1	2																									
31	0	2	1																									
31	0	3	7																									
31	0	4	7																									
32	1	1	2																									
32	1	2	2																									
32	0	3	7																									
32	0	4	7																									
33	0	1	7																									
33	0	2	7																									
33	0	3	7																									
33	0	4	7																									
34	0	1	7																									
34	0	2	7																									
34	0	3	7																									
34	0	4	7																									
35	0	1	7																									
35	0	2	7																									
35	0	3	7																									
35	1	4	2																									
36	0	1	7																									
36	0	2	7																									
36	1	3	2																									
36	1	4	2																									
37	0	1	7																									
37	0	2	7																									
37	0	3	7																									
37	0	4	7																									
38	0	1	7																									
38	0	2	7																									
38	0	3	7																									
38	0	4	7																									
39	1	1	2																									
