1	0	1	1										
1	0	2	1										
1	0	3	1										
1	0	4	1										
2	0	1	1										
2	0	2	1										
2	0	3	1										
2	0	4	1										
3	0	1	1										
3	0	2	1										
3	0	3	1										
3	0	4	1										
4	0	1	1										
4	0	2	1										
4	0	3	1										
4	0	4	1										
5	0	1	1										
5	0	2	1										
5	0	3	1										
5	0	4	1										
6	0	1	1										
6	0	2	1										
6	0	3	1										
6	0	4	1										
7	0	1	1										
7	0	2	1										
7	0	3	1										
7	0	4	1										
8	1	1	4										
8	1	2	4										
8	0	3	3										
8	0	4	2										
9	0	1	1										
9	0	2	1										
9	0	3	1										
9	0	4	1										
10	0	1	1										
10	0	2	1										
10	0	3	1										
10	0	4	1										
11	0	1	1										
11	0	2	1										
11	0	3	1										
11	0	4	1										
12	0	1	1										
12	0	2	3										
12	0	3	3										
12	0	4	1										
13	0	1	1										
13	0	2	1										
13	0	3	1										
13	0	4	1										
14	0	1	1										
14	0	2	1										
14	0	3	1										
14	0	4	1										
15	0	1	1										
15	0	2	1										
15	0	3	1										
15	0	4	1										
16	0	1	2										
16	0	2	3										
16	1	3	4										
16	1	4	4										
17	0	1	1										
17	0	2	1										
17	0	3	1										
17	0	4	1										
18	0	1	1										
18	0	2	1										
18	0	3	1										
18	0	4	1										
19	0	1	1										
19	0	2	1										
19	0	3	1										
19	0	4	1										
20	0	1	1										
20	0	2	1										
20	0	3	1										
20	0	4	1										
21	0	1	1										
21	0	2	1										
21	0	3	1										
21	0	4	1										
22	0	1	1										
22	0	2	1										
22	0	3	1										
22	0	4	1										
23	0	1	1										
23	0	2	1										
23	0	3	1										
23	0	4	1										
24	1	1	4										
24	1	2	4										
24	0	3	3										
24	0	4	2										
25	0	1	1										
25	0	2	1										
25	0	3	1										
25	0	4	1										
26	0	1	1										
26	0	2	1										
26	0	3	1										
26	0	4	1										
27	0	1	1										
27	0	2	1										
27	0	3	1										
27	0	4	1										
28	0	1	1										
28	0	2	3										
28	0	3	3										
28	0	4	1										
29	0	1	1										
29	0	2	1										
29	0	3	1										
29	0	4	1										
30	0	1	1										
30	0	2	1										
30	0	3	1										
30	0	4	1										
31	0	1	1										
31	0	2	1										
31	0	3	1										
31	0	4	1										
32	0	1	2										
32	0	2	3										
32	1	3	4										
32	1	4	4										
33	0	1	1										
33	0	2	1										
33	0	3	1										
33	0	4	1										
34	0	1	1										
34	0	2	1										
34	0	3	1										
34	0	4	1										
35	0	1	1										
35	0	2	1										
35	0	3	1										
35	0	4	1										
36	0	1	1										
36	0	2	1										
36	0	3	1										
36	0	4	1										
37	0	1	1										
37	0	2	1										
37	0	3	1										
37	0	4	1										
38	0	1	1										
38	0	2	1										
38	0	3	1										
38	0	4	1										
39	0	1	1										
39	0	2	1										
39	0	3	1										
39	0	4	1										
40	1	1	4										
40	1	2	4										
40	0	3	3										
40	0	4	2										
41	0	1	1										
41	0	2	1										
41	0	3	1										
41	0	4	1										
42	0	1	1										
42	0	2	1										
42	0	3	1										
42	0	4	1										
43	0	1	1										
43	0	2	1										
43	0	3	1										
43	0	4	1										
44	0	1	1										
44	0	2	3										
44	0	3	3										
44	0	4	1										
45	0	1	1										
45	0	2	1										
45	0	3	1										
45	0	4	1										
46	0	1	1										
46	0	2	1										
46	0	3	1										
46	0	4	1										
47	0	1	1										
