0	0	11	1
1	0	11	1
2	0	11	1
0	0	12	1
1	0	12	1
2	0	12	1

2	-1	11	1
3	-1	11	1
4	-1	11	1
2	-1	12	1
3	-1	12	1
4	-1	12	1
5	-2	11	4
5	-2	12	4
6	-2	11	4
6	-2	12	4
7	-2	11	4
7	-2	12	4
7	-3	11	4
8	-3	11	4
8	-4	11	3
8	-4	12	3
7	-3	12	4
8	-3	12	4
9	-2	11	9
9	-2	12	9
9	-5	11	1
10	-5	11	1
11	-5	11	5
12	-5	11	5
13	-5	11	5
14	-5	11	5
15	-5	11	3
16	-5	11	3
17	-5	11	7
18	-5	11	7
19	-5	11	1
20	-5	11	1
9	-5	12	1
10	-5	12	1
11	-5	12	5
12	-5	12	5
13	-5	12	5
14	-5	12	5
15	-5	12	3
16	-5	12	3
17	-5	12	7
18	-5	12	7
19	-5	12	1
20	-5	12	1
21	-5	12	1
22	-6	12	5
23	-7	12	5
24	-8	12	5
25	-9	12	5
26	-10	12	5
27	-11	12	5
28	-12	12	5
29	-13	12	5
30	-14	12	5
31	-15	12	5
32	-16	12	5
33	-17	12	5
34	-18	12	5
37	-18	12	1
38	-18	12	1
39	-18	10	9
39	-18	11	7
39	-18	12	9
39	-18	13	7
40	-18	9	3
40	-18	10	7
40	-18	11	9
40	-18	12	7
40	-18	13	9
41	-18	6	9
41	-18	7	7
41	-18	8	9
41	-18	9	7
41	-18	10	9
41	-18	11	7
41	-18	12	9
41	-18	13	7
42	-18	6	7
42	-18	7	9
42	-18	8	7
42	-18	9	9
46	-18	0	3
47	-18	0	3
47	-18	5	9
47	-18	6	7
47	-18	7	9
47	-18	8	7
48	-18	0	3
48	-18	1	1
48	-18	2	1
48	-18	3	1
48	-18	4	3
48	-18	5	7
48	-18	6	9
48	-18	7	7
48	-18	8	9
48	-18	9	1
48	-18	10	1
48	-18	11	1
48	-18	12	2
48	-18	13	1
48	-18	14	1
49	-18	14	1
50	-18	14	3
54	-18	0	5
55	-18	0	1
56	-18	0	1
56	-18	1	1
56	-18	2	2
56	-18	3	1
56	-18	4	9
56	-18	5	7
56	-18	6	9
56	-18	7	7
57	-18	4	7
57	-18	5	9
57	-18	6	7
57	-18	7	9
36	-18	12	1
56	-18	8	9
57	-18	8	7
35	-19	12	4
43	-19	5	9
43	-19	6	7
43	-19	7	9
43	-19	8	7
44	-19	0	1
44	-19	1	1
44	-19	2	1
44	-19	3	1
44	-19	4	3
44	-19	5	7
44	-19	6	9
44	-19	7	7
44	-19	8	9
45	-19	0	1
45	-19	5	9
45	-19	6	7
45	-19	7	9
45	-19	8	7
46	-19	0	1
50	-19	14	1
51	-19	9	1
51	-19	10	1
51	-19	11	1
51	-19	12	2
51	-19	13	1
51	-19	14	1
52	-19	6	9
52	-19	7	7
52	-19	8	9
52	-19	9	7
53	-19	0	1
53	-19	2	1
53	-19	3	1
53	-19	4	1
53	-19	5	1
53	-19	6	7
53	-19	7	9
53	-19	8	7
53	-19	9	9
53	-19	1	1
54	-19	0	3
58	-19	8	1
59	-20	8	1
60	-21	8	1
60	-22	7	1
60	-22	9	1
61	-22	8	1
60	-23	6	4
60	-23	10	4
61	-23	7	2
61	-23	9	2
62	-23	8	9
60	-24	5	2
60	-24	11	2
61	-24	6	3
61	-24	10	3
62	-24	7	4
62	-24	9	4
63	-24	8	5
71	-24	8	1
72	-24	8	5
73	-24	8	4
74	-24	7	4
74	-24	8	5
74	-24	9	4
75	-24	7	5
75	-24	8	4
75	-24	9	5
76	-24	7	4
76	-24	8	5
76	-24	9	4
77	-24	6	4
77	-24	7	5
77	-24	8	4
77	-24	9	5
77	-24	10	4
78	-24	6	5
78	-24	8	3
78	-24	10	5
78	-24	11	1
78	-24	12	1
78	-24	13	1
79	-24	6	4
79	-24	7	5
79	-24	9	5
79	-24	13	5
80	-24	6	5
80	-24	8	5
80	-24	10	5
80	-24	11	1
80	-24	12	1
80	-24	13	1
81	-24	6	4
81	-24	7	5
81	-24	8	4
81	-24	9	5
81	-24	10	4
64	-25	8	1
70	-25	8	1
78	-25	14	1
78	-25	15	1
78	-25	16	1
79	-25	15	3
79	-25	16	1
80	-25	14	1
80	-25	15	1
80	-25	16	1

65	-26	8	1
69	-26	8	1
78	-26	17	1
78	-26	18	1
78	-26	19	1
79	-26	18	3
79	-26	19	1
80	-26	17	1
80	-26	18	1
80	-26	19	1

66	-27	8	1
68	-27	8	1
78	-27	20	1
78	-27	21	1
78	-27	22	2
79	-27	21	3
